id name,email anonymized,Are you interested in being a Team Representative?,f14bacd9c5e337e88617ecf7588b09c1,2a5f502a9b0f5d8ca090edfe9516c0f1,bf5dcab36ea2cab81be891aeb42f10d5,6d01182543b886b3aaf0e40d02bf0a5e,a871d0026901a4186f2902c6d7ca23d9,95dda093b40621d1a1629fe6efa4a15f,1699ea9ea14f94400638064d390eb50d,c4a681ce3d9a804283bb66945c3be328,ce9a07724daed8a4f2bb0243a197f7c0,84cd248f5289c24095a7f29f23720ef0,1f4eb6bcc3951341284ad42f989acaec,d96c3199963b71fc71564236b25bd1f8,99db73a17b41b521be87c691bc1697f1,080fc5b6bd95656ba2165a1bc1802088,Mondays,Tuesdays,Wednesdays,Thursdays,Fridays,anonymized group preference,anonymized project assignment,Team #
31fe58d03ac3a3105b57d6ce5923e878,7f88d41092e341a0f8089ad06e781236,,,,,,,,,,,,,,,,,,,,,[''],1699ea9ea14f94400638064d390eb50d,5
61d07ea632dbca5e50f60f7344c48253,1ea5eb93aa1eb3275cd4862916ab3dde,Yes,7th,2nd,5th,8th,10th,9th,4th,14th,6th,11th,12th,13th,3rd,1st,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)",[''],080fc5b6bd95656ba2165a1bc1802088,1
cb26e1c1d361ff032d52881db6acba6a,d2b43f41e70b0568a78c7a4994775fc5,Maybe,1st,11th,8th,4th,12th,5th,3rd,10th,7th,2nd,9th,13th,14th,6th,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),Early Afternoon Availability (1:00-3:00pm),Early Afternoon Availability (1:00-3:00pm),Late Afternoon Availability (3:00-5:00pm),['f765e16450122a86ca63c8065614f711'],84cd248f5289c24095a7f29f23720ef0,3
3bd94e2f3eb068213b871913ee503dae,7e6a9e7b563e23b71af8ba57b37f1618,Maybe,14th,1st,3rd,1st,14th,3rd,3rd,4th,14th,14th,1st,4th,1st,3rd,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],c4a681ce3d9a804283bb66945c3be328,2
fe13d6b40216c7c26c8c5ef5e4369695,79afbc9f72173caf050de2b3f9831f8c,Yes,12th,5th,13th,4th,6th,9th,10th,8th,11th,7th,2nd,14th,3rd,1st,I am not available at any point during the day (9:00am-5:00pm),Morning Availability (9:00-11:00am),I am not available at any point during the day (9:00am-5:00pm),I am not available at any point during the day (9:00am-5:00pm),"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","['38ddd745771197764a23c1abd4ef61b2', '11765054dd7edd15c57b6e6ab5d277e2']",080fc5b6bd95656ba2165a1bc1802088,3
d08b418225c311b4ea40c871f8ba9fbb,a786cd37c5e41c79d270eec724459088,No,11th,14th,2nd,3rd,1st,9th,14th,14th,13th,11th,14th,5th,5th,8th,I am not available at any point during the day (9:00am-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],6d01182543b886b3aaf0e40d02bf0a5e,2
00f8977db5e78880727c4ba377a7e5b4,7270b675e99abb80732bb1f459230eae,Yes,1st,12th,7th,11th,6th,13th,5th,3rd,9th,8th,2nd,10th,4th,14th,Late Afternoon Availability (3:00-5:00pm),I am not available at any point during the day (9:00am-5:00pm),Late Afternoon Availability (3:00-5:00pm),I am not available at any point during the day (9:00am-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",['49ed43805e8c77dec154241be48808cb'],1f4eb6bcc3951341284ad42f989acaec,3
e1dbb90d537d4426ecb927e640a47d11,a52735f75d9c47ec276ec4067840759c,Maybe,3rd,4th,11th,5th,7th,1st,8th,9th,12th,13th,6th,14th,2nd,10th,"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Early Afternoon Availability (1:00-3:00pm),"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Early Afternoon Availability (1:00-3:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",['e12608e4aca1cb5f0ba774fdca801653'],95dda093b40621d1a1629fe6efa4a15f,3
11765054dd7edd15c57b6e6ab5d277e2,757aeec24d8c68797e9e06b01c2546f8,Yes,7th,5th,8th,4th,11th,14th,10th,3rd,6th,1st,13th,9th,12th,2nd,Midday Availability (11:00am-1:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],080fc5b6bd95656ba2165a1bc1802088,3
1e6719f142685a93fce4e1efd58fc95d,cc009c3f4dd5f7bf940867fe44b9519c,,,,,,,,,,,,,,,,,,,,,[''],1699ea9ea14f94400638064d390eb50d,5
c509839db8e58f5a03835130bdbe2a40,9a1abfd38cf351f90babec477d9845b8,No,14th,1st,3rd,9th,4th,11th,12th,13th,8th,7th,6th,5th,2nd,10th,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Late Afternoon Availability (3:00-5:00pm),Early Afternoon Availability (1:00-3:00pm),Late Afternoon Availability (3:00-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",['d76a13b0b2c64913ff50d15e8714437f'],99db73a17b41b521be87c691bc1697f1,1
