34166d55bf8b4df36376c6ed4126b276,f3ba5b908d3366d3d76e47f4b69fdb08,83bbde49408856b53ef1f123bd4b489b,010e5ac203a6b7be05224d3aeb708d43,4fd267f116ac20e3020b1bd9001e2c8d,f6995000c0178087cbc01ba94d9fd13b,7fbf9d6e12aef47dd882527130e7b853,7c4039fec3ea99d50511d13767364531,Mondays,Tuesdays,Wednesdays,Thursdays,Fridays,id name,email anonymized,anonymized group preference
1st,3rd,7th,2nd,8th,4th,6th,5th,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Late Afternoon Availability (3:00-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Late Afternoon Availability (3:00-5:00pm),"Morning Availability (9:00-11:00am), Late Afternoon Availability (3:00-5:00pm)",4ea4e4e80b54eadbd3d84de986148726,83fa6201020f6c80cc6e5dc01495bfcb,['9fe3ffcb3c4a8be528634ea30acd9d7e']
1st,4th,3rd,6th,5th,8th,7th,2nd,I am not available at any point during the day (9:00am-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Morning Availability (9:00-11:00am),Morning Availability (9:00-11:00am),"Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)",1558cf75892cea55603585a386160560,c5a8d96db675498dcb222c1bc82c18cc,[]
2nd,6th,4th,3rd,1st,7th,8th,5th,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",I am not available at any point during the day (9:00am-5:00pm),Midday Availability (11:00am-1:00pm),I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",37d097009f9f9584546ba59404e55c7f,c868401e02724b4a2f8b8f04728244b9,[]
8th,3rd,6th,8th,5th,4th,2nd,1st,Midday Availability (11:00am-1:00pm),"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",9b5ed343735a746cfb5ae891fccce6d3,bbdcb0d279f75a8c602ed6f0a5d93675,[]
5th,6th,1st,2nd,4th,8th,7th,3rd,I am not available at any point during the day (9:00am-5:00pm),I am not available at any point during the day (9:00am-5:00pm),I am not available at any point during the day (9:00am-5:00pm),I am not available at any point during the day (9:00am-5:00pm),"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",e9b83325b73b4236676b068419ccc602,833bc27f9003455eddbb408c64139000,[]
7th,5th,4th,3rd,1st,8th,6th,2nd,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm), I am not available at any point during the day (9:00am-5:00pm)",d28dafdadc7582405740e92762036f3e,cd9c7718c37227b7cb9105e7b8b519e1,[]
3rd,8th,7th,5th,2nd,6th,4th,1st,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Early Afternoon Availability (1:00-3:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Early Afternoon Availability (1:00-3:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",e9caf2d89a062be0d33241ac75a57a36,bf4f88c8bdf2856296975944486a2b62,[]
1st,4th,7th,3rd,2nd,6th,8th,5th,Morning Availability (9:00-11:00am),I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",8cdab33cb54ba45cef8a42895169948b,efc5d9d5cdb65b06920775ff01d024f1,[]
1st,5th,3rd,2nd,4th,6th,8th,7th,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",825d265ffcc8bda681cee28619afbfa2,9fe3ffcb3c4a8be528634ea30acd9d7e,[]
2nd,3rd,5th,1st,4th,8th,7th,6th,I am not available at any point during the day (9:00am-5:00pm),Early Afternoon Availability (1:00-3:00pm),"Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)","Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)",7e6bb389d3e57ff0fe7a401ea98c013c,07f28ea08e356a52dd066c78af3f7974,[]
2nd,6th,5th,1st,3rd,8th,7th,4th,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)",b7d133be697c24d009d4056d6547212d,7a0fc4932881232a604dc0ac45211426,[]
3rd,7th,5th,1st,4th,8th,6th,2nd,Midday Availability (11:00am-1:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Midday Availability (11:00am-1:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)",692a2ecd080263bc4d66291f593dd9cf,8f6b9964636c859ccf85dca3c09376af,['07f28ea08e356a52dd066c78af3f7974']
1st,6th,4th,2nd,5th,8th,7th,3rd,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",523811cb3fcb4e29205e04580c5f4daf,068bc3ab379ec22b25d33197153c06e4,[]
5th,7th,4th,2nd,8th,1st,3rd,6th,Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),829f6fb5d4c78b70183cc0fc61615a0f,bc3d6cc2713ff46804f0134b85c52c22,['a2566f1054c5aaacd4fde2a74c5d8091']
5th,7th,4th,2nd,8th,1st,3rd,6th,Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),fed9d9d15774b5ae498ab1c540cc3f2e,a2566f1054c5aaacd4fde2a74c5d8091,['bc3d6cc2713ff46804f0134b85c52c22']
2nd,5th,3rd,1st,8th,6th,7th,4th,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)",Midday Availability (11:00am-1:00pm),4a790e078a3d4eea99c69681c12b36de,a86749c1771a35df01ad673ffe4fb255,[]
2nd,4th,1st,3rd,5th,7th,8th,6th,Midday Availability (11:00am-1:00pm),I am not available at any point during the day (9:00am-5:00pm),Early Afternoon Availability (1:00-3:00pm),"Morning Availability (9:00-11:00am), Late Afternoon Availability (3:00-5:00pm)","Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",20641c4b023639239531d3b6530484a8,3aa6aa90134b1b1252615422991936c8,['9257496cbd14fdad99ab289220e8670b']
2nd,4th,1st,3rd,5th,7th,8th,6th,Early Afternoon Availability (1:00-3:00pm),"Morning Availability (9:00-11:00am), Late Afternoon Availability (3:00-5:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Late Afternoon Availability (3:00-5:00pm)","Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",59723e0ebbc1ed2d0a364620ebae65fa,9257496cbd14fdad99ab289220e8670b,['3aa6aa90134b1b1252615422991936c8']
3rd,2nd,7th,4th,5th,8th,1st,6th,Midday Availability (11:00am-1:00pm),Midday Availability (11:00am-1:00pm),"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Midday Availability (11:00am-1:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",ff8ca7a72f58dbb7e32cfbacdb17ae48,39e3462a0a89bef63334cdce25ddc003,[]
1st,5th,2nd,6th,4th,8th,7th,3rd,I am not available at any point during the day (9:00am-5:00pm),I am not available at any point during the day (9:00am-5:00pm),Midday Availability (11:00am-1:00pm),Midday Availability (11:00am-1:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",34d1b86731c2e6324b36befb6cf17f3d,bd86fb3babb9adffa2aefd567ef777b6,['c5a8d96db675498dcb222c1bc82c18cc']
1st,6th,2nd,4th,5th,7th,8th,3rd,Morning Availability (9:00-11:00am),Midday Availability (11:00am-1:00pm),I am not available at any point during the day (9:00am-5:00pm),Midday Availability (11:00am-1:00pm),"Morning Availability (9:00-11:00am), Late Afternoon Availability (3:00-5:00pm)",78faa558cb743cdbf28daa4eac946ffe,7f2bd385aff4d777af914ebe6e3cff01,['c5a8d96db675498dcb222c1bc82c18cc']
2nd,5th,1st,4th,6th,7th,8th,3rd,Late Afternoon Availability (3:00-5:00pm),I am not available at any point during the day (9:00am-5:00pm),Morning Availability (9:00-11:00am),I am not available at any point during the day (9:00am-5:00pm),Early Afternoon Availability (1:00-3:00pm),c9b59598d916304e05bdf09b3ae1f882,18abffd1ddd1e63a1671e754dc59886f,[]
1st,8th,5th,6th,7th,2nd,4th,3rd,Morning Availability (9:00-11:00am),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)",Late Afternoon Availability (3:00-5:00pm),ae6f1da351ffa85fe8f792583d15f6b0,48ec8d2e20b74dded81f69f3dff16502,[]
